EschmeyerName,OBISChecklist,FBName,GBIFnames,GBIF Synonym,SplitFrom,SplitYear,Group,Notes,fbATLPresent,OBIS_atlPresent,fbOBagree,isAtlantic
Pseudocaranx chilensis,Pseudocaranx chilensis,Pseudocaranx chilensis,Pseudocaranx chilensis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudocaranx dentex,Pseudocaranx dentex,Pseudocaranx dentex,Pseudocaranx dentex,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pseudocaranx dinjerra,Pseudocaranx dinjerra,Pseudocaranx dinjerra,Pseudocaranx dinjerra,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudocaranx wrighti,Pseudocaranx wrighti,Pseudocaranx wrighti,Pseudocaranx wrighti,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Psenopsis shojimai,Pseudoscopelus altipinnis,Pseudoscopelus altipinnis,Psenopsis shojimai,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pseudoscopelus aphos,Pseudoscopelus aphos,Pseudoscopelus aphos,Pseudoscopelus aphos,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pseudoscopelus astronesthidens,NA,Pseudoscopelus astronesthidens,Pseudoscopelus astronesthidens,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Pseudoscopelus australis,Pseudoscopelus australis,Pseudoscopelus australis,Pseudoscopelus australis,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Pseudoscopelus bothrorrhinos,NA,Pseudoscopelus bothrorrhinos,Pseudoscopelus bothrorrhinos,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus cephalus,Pseudoscopelus cephalus,Pseudoscopelus cephalus,Pseudoscopelus cephalus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus cordilluminatus,NA,Pseudoscopelus cordilluminatus,Pseudoscopelus cordilluminatus,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Pseudoscopelus lavenbergi,Pseudoscopelus lavenbergi,Pseudoscopelus lavenbergi,Pseudoscopelus lavenbergi,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus obtusifrons,Pseudoscopelus obtusifrons,Pseudoscopelus obtusifrons,Pseudoscopelus obtusifrons,NA,NA,NA,S,,FALSE,TRUE,FALSE,TRUE
Pseudoscopelus odontoglossus,Pseudoscopelus odontoglossum,Pseudoscopelus odontoglossum,"Pseudoscopelus odontoglossum Melo, 2010",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus parini,NA,Pseudoscopelus parini,Pseudoscopelus parini,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus vityazi,NA,Pseudoscopelus parini,"Pseudoscopelus vityazi Prokofiev & Kukuev, 2008",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus paxtoni,Pseudoscopelus paxtoni,Pseudoscopelus paxtoni,"Pseudoscopelus paxtoni Melo, 2010",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus obtusifrons,NA,Pseudoscopelus pierbartus,Pseudoscopelus obtusifrons,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Pseudoscopelus sagamianus,Pseudoscopelus sagamianus,Pseudoscopelus sagamianus,Pseudoscopelus sagamianus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Pseudoscopelus scriptus,Pseudoscopelus scriptus,Pseudoscopelus scriptus,Pseudoscopelus scriptus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pseudoscopelus scutatus,Pseudoscopelus scutatus,Pseudoscopelus scutatus,Pseudoscopelus scutatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pteraclis aesticola,Pteraclis aesticola,Pteraclis aesticola,Pteraclis aesticola,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Pteraclis carolinum,Pteraclis carolinus,Pteraclis carolinus,"Pteraclis carolinus Valenciennes, 1833",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pteraclis veliferum,Pteraclis velifera,Pteraclis velifera,"Pteraclis vellifera (Pallas, 1770)",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pterycombus brama,Pterycombus brama,Pterycombus brama,Pterycombus brama,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Pterycombus petersii,Pterycombus petersii,Pterycombus petersii,Pterycombus petersii,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Rastrelliger brachysoma,Rastrelliger brachysoma,Rastrelliger brachysoma,Rastrelliger brachysoma,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rastrelliger faughni,Rastrelliger faughni,Rastrelliger faughni,Rastrelliger faughni,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rastrelliger kanagurta,Rastrelliger kanagurta,Rastrelliger kanagurta,Rastrelliger kanagurta,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Rexea alisae,Rexea alisae,Rexea alisae,Rexea alisae infrasp. roberts,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rexea antefurcata,Rexea antefurcata,Rexea antefurcata,Rexea antefurcata,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rexea bengalensis,NA,Rexea bengalensis,Rexea bengalensis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rexea brevilineata,Rexea brevilineata,Rexea brevilineata,Rexea brevilineata,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rexea nakamurai,NA,Rexea nakamurai,Rexea nakamurai,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rexea prometheoides,NA,Rexea prometheoides,Rexea prometheoides,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rexea solandri,Rexea solandri,Rexea solandri,Rexea solandri,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Rexichthys johnpaxtoni,Rexichthys johnpaxtoni,Rexichthys johnpaxtoni,"Rexichthys johnpaxtoni Parin & Astakhov, 1987",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Ruvettus pretiosus,Ruvettus pretiosus,Ruvettus pretiosus,Ruvettus pretiosus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Sarda australis,Sarda australis,Sarda australis,Sarda australis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Sarda chiliensis,NA,Sarda chiliensis,Sarda chiliensis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Sarda chiliensis,Sarda lineolata,Sarda lineolata,Sarda chiliensis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Sarda orientalis,NA,Sarda orientalis,Sarda orientalis,NA,NA,NA,S,,TRUE,FALSE,FALSE,FALSE
Sarda sarda,Sarda sarda,Sarda sarda,Sarda sarda,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Seriolella caerulea,Schedophilus griseolineatus,Schedophilus griseolineatus,Seriolella caerulea,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Schedophilus haedrichi,Schedophilus haedrichi,Schedophilus haedrichi,Schedophilus haedrichi,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Schedophilus huttoni,Schedophilus huttoni,Schedophilus huttoni,Schedophilus huttoni,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Schedophilus maculatus,Schedophilus maculatus,Schedophilus maculatus,Schedophilus maculatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Schedophilus medusophagus,Schedophilus medusophagus,Schedophilus medusophagus,Schedophilus medusophagus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Schedophilus ovalis,Schedophilus ovalis,Schedophilus ovalis,Schedophilus ovalis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Schedophilus pemarco,Schedophilus pemarco,Schedophilus pemarco,"Schedophilus pemarco (Poll, 1959)",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Schedophilus velaini,Schedophilus velaini,Schedophilus velaini,Schedophilus velaini,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomber australasicus,Scomber australasicus,Scomber australasicus,Scomber australasicus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomber colias,Scomber colias,Scomber colias,Scomber colias,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomber japonicus,Scomber japonicus,Scomber japonicus,Scomber japonicus,NA,NA,NA,S,,FALSE,TRUE,FALSE,TRUE
Scomber scombrus,Scomber scombrus,Scomber scombrus,Scomber scombrus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomberomorus brasiliensis,Scomberomorus brasiliensis,Scomberomorus brasiliensis,Scomberomorus brasiliensis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomberomorus cavalla,Scomberomorus cavalla,Scomberomorus cavalla,Scomberomorus cavalla,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomberomorus commerson,Scomberomorus commerson,Scomberomorus commerson,Scomberomorus commerson,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomberomorus concolor,Scomberomorus concolor,Scomberomorus concolor,Scomberomorus concolor,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus guttatus,Scomberomorus guttatus,Scomberomorus guttatus,Scomberomorus guttatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus koreanus,Scomberomorus koreanus,Scomberomorus koreanus,Scomberomorus koreanus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus lineolatus,Scomberomorus lineolatus,Scomberomorus lineolatus,"Scomberomorus lineolatus Cuvier, 1829",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus maculatus,Scomberomorus maculatus,Scomberomorus maculatus,Scomberomorus maculatus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomberomorus multiradiatus,Scomberomorus multiradiatus,Scomberomorus multiradiatus,"Scomberomorus multiradiatus Munro, 1964",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus munroi,Scomberomorus munroi,Scomberomorus munroi,Scomberomorus munroi,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus niphonius,Scomberomorus niphonius,Scomberomorus niphonius,Scomberomorus niphonius,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus plurilineatus,Scomberomorus plurilineatus,Scomberomorus plurilineatus,Scomberomorus plurilineatus,NA,NA,NA,S,,TRUE,FALSE,FALSE,FALSE
Scomberomorus queenslandicus,Scomberomorus queenslandicus,Scomberomorus queenslandicus,Scomberomorus queenslandicus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus regalis,Scomberomorus regalis,Scomberomorus regalis,Scomberomorus regalis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scomberomorus semifasciatus,Scomberomorus semifasciatus,Scomberomorus semifasciatus,Scomberomorus semifasciatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus sierra,Scomberomorus sierra,Scomberomorus sierra,Scomberomorus sierra,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus sinensis,Scomberomorus sinensis,Scomberomorus sinensis,Scomberomorus sinensis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scomberomorus tritor,Scomberomorus tritor,Scomberomorus tritor,Scomberomorus tritor,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scombrolabrax heterolepis,Scombrolabrax heterolepis,Scombrolabrax heterolepis,Scombrolabrax heterolepis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scombrops boops,Scombrops boops,Scombrops boops,Scombrops boops,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Scombrops gilberti,Scombrops gilberti,Scombrops gilberti,Scombrops gilberti,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Scombrops oculatus,Scombrops oculatus,Scombrops oculatus,"Scombrops oculatus (Poey, 1860)",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Seriolella brama,Seriolella brama,Seriolella brama,Seriolella brama,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Seriolella caerulea,Seriolella caerulea,Seriolella caerulea,Seriolella caerulea,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Seriolella porosa,Seriolella porosa,Seriolella porosa,Seriolella porosa,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Seriolella punctata,Seriolella punctata,Seriolella punctata,Seriolella punctata,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Seriolella caerulea,Seriolella tinro,Seriolella tinro,Seriolella caerulea,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Seriolella violacea,Seriolella violacea,Seriolella violacea,"Seriolella violacea Guichenot, 1848",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Stromateus brasiliensis,Stromateus brasiliensis,Stromateus brasiliensis,Stromateus brasiliensis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Stromateus fiatola,Stromateus fiatola,Stromateus fiatola,Stromateus fiatola,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Stromateus stellatus,Stromateus stellatus,Stromateus stellatus,Stromateus stellatus,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Taractes asper,Taractes asper,Taractes asper,Taractes asper,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Taractes rubescens,Taractes rubescens,Taractes rubescens,Taractes rubescens,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Taractichthys longipinnis,Taractichthys longipinnis,Taractichthys longipinnis,Taractichthys longipinnis,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Taractichthys steindachneri,Taractichthys steindachneri,Taractichthys steindachneri,Taractichthys steindachneri,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Tentoriceps cristatus,Tentoriceps cristatus,Tentoriceps cristatus,Tentoriceps cristatus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Tetragonurus atlanticus,Tetragonurus atlanticus,Tetragonurus atlanticus,Tetragonurus atlanticus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Tetragonurus cuvieri,Tetragonurus cuvieri,Tetragonurus cuvieri,Tetragonurus cuvieri,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Tetragonurus pacificus,Tetragonurus pacificus,Tetragonurus pacificus,Tetragonurus pacificus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Thunnus alalunga,Thunnus alalunga,Thunnus alalunga,Thunnus alalunga,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Thunnus albacares,Thunnus albacares,Thunnus albacares,Thunnus albacares,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Thunnus atlanticus,Thunnus atlanticus,Thunnus atlanticus,Thunnus atlanticus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Thunnus maccoyii,Thunnus maccoyii,Thunnus maccoyii,Thunnus maccoyii,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Thunnus obesus,Thunnus obesus,Thunnus obesus,Thunnus obesus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Thunnus orientalis,Thunnus orientalis,Thunnus orientalis,Thunnus orientalis,NA,NA,NA,S,,FALSE,TRUE,FALSE,FALSE
Thunnus thynnus,Thunnus thynnus,Thunnus thynnus,Thunnus thynnus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Thunnus tonggol,Thunnus tonggol,Thunnus tonggol,Thunnus tonggol,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Leionura atun,Thyrsites atun,Thyrsites atun,Leionura atun,NA,NA,NA,S,,TRUE,FALSE,FALSE,TRUE
Thyrsitoides marleyi,Thyrsitoides marleyi,Thyrsitoides marleyi,Thyrsitoides marleyi,NA,NA,NA,S,,TRUE,FALSE,FALSE,FALSE
Thyrsites lepidopodea,Thyrsitops lepidopoides,Thyrsitops lepidopoides,"Thyrsites lepidopodea Lesson, 1831",NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Tongaichthys robustus,Tongaichthys robustus,Tongaichthys robustus,"Tongaichthys robustus Nakamura & Fujii, 1983",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus auriga,Trichiurus auriga,Trichiurus auriga,Trichiurus auriga,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus australis,Trichiurus australis,Trichiurus australis,"Trichiurus australis Chakraborty, Burhanuddin & Iwatsuki, 2005",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus brevis,NA,Trichiurus brevis,Trichiurus brevis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus gangeticus,Trichiurus gangeticus,Trichiurus gangeticus,Trichiurus gangeticus,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus lepturus,Trichiurus lepturus,Trichiurus lepturus,Trichiurus lepturus,NA,NA,NA,S,,TRUE,TRUE,TRUE,TRUE
Trichiurus margarites,NA,Trichiurus margarites,"Trichiurus margarites Li, 1992",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus nanhaiensis,Trichiurus nanhaiensis,Trichiurus nanhaiensis,Trichiurus nanhaiensis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus nickolensis,Trichiurus nickolensis,Trichiurus nickolensis,"Trichiurus nickolensis Burhanuddin & Iwatsuki, 2003",NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Trichiurus russelli,Trichiurus russelli,Trichiurus russelli,Trichiurus russelli,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Tubbia stewarti,Tubbia stewarti,Tubbia stewarti,Tubbia stewarti,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Tubbia tasmanica,Tubbia tasmanica,Tubbia tasmanica,Tubbia tasmanica,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Xenobrama microlepis,Xenobrama microlepis,Xenobrama microlepis,Xenobrama microlepis,NA,NA,NA,S,,FALSE,FALSE,TRUE,FALSE
Albatrossia pectoralis,Albatrossia pectoralis,Albatrossia pectoralis,Albatrossia pectoralis,NA,NA,NA,G,,FALSE,TRUE,FALSE,FALSE
Antimora microlepis,Antimora microlepis,Antimora microlepis,Antimora microlepis,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Antimora rostrata,Antimora rostrata,Antimora rostrata,Antimora rostrata,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Arctogadus borisovi,Arctogadus borisovi,Arctogadus glacialis,Arctogadus borisovi,NA,NA,NA,G,,TRUE,FALSE,FALSE,TRUE
Arctogadus glacialis,Arctogadus glacialis,Arctogadus glacialis,Arctogadus glacialis,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Asthenomacrurus fragilis,Asthenomacrurus fragilis,Asthenomacrurus fragilis,"Asthenomacrurus fragilis (Garman, 1899)",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Asthenomacrurus victoris,Asthenomacrurus victoris,Asthenomacrurus victoris,"Asthenomacrurus victoris Sazonov & Shcherbachev, 1982",NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Auchenoceros punctatus,Auchenoceros punctatus,Auchenoceros punctatus,Auchenoceros punctatus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus antrodes,Bathygadus antrodes,Bathygadus antrodes,Bathygadus antrodes,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus bowersi,Bathygadus bowersi,Bathygadus bowersi,"Bathygadus bowersi (Gilbert, 1905)",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus cottoides,Bathygadus cottoides,Bathygadus cottoides,Bathygadus cottoides,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bathygadus dubiosus,Bathygadus dubiosus,Bathygadus dubiosus,"Bathygadus dubiosus Weber, 1913",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus entomelas,Bathygadus entomelas,Bathygadus entomelas,Bathygadus entomelas,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus favosus,Bathygadus favosus,Bathygadus favosus,Bathygadus favosus,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bathygadus furvescens,Bathygadus furvescens,Bathygadus furvescens,"Bathygadus furvescens Alcock, 1894",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus garretti,Bathygadus garretti,Bathygadus garretti,Bathygadus garretti,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus macrops,Bathygadus macrops,Bathygadus macrops,Bathygadus macrops,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bathygadus melanobranchus,Bathygadus melanobranchus,Bathygadus melanobranchus,Bathygadus melanobranchus,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bathygadus nipponicus,Bathygadus nipponicus,Bathygadus nipponicus,Bathygadus nipponicus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus spongiceps,Bathygadus spongiceps,Bathygadus spongiceps,Bathygadus spongiceps Gilbert & Hubbs,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bathygadus sulcatus,Bathygadus sulcatus,Bathygadus sulcatus,"Bathygadus sulcatus (Smith & Radcliffe, 1912)",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Boreogadus saida,Boreogadus saida,Boreogadus saida,Boreogadus saida,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bregmaceros arabicus,Bregmaceros arabicus,Bregmaceros arabicus,Bregmaceros arabicus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bregmaceros atlanticus,Bregmaceros atlanticus,Bregmaceros atlanticus,Bregmaceros atlanticus,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bregmaceros bathymaster,Bregmaceros bathymaster,Bregmaceros bathymaster,Bregmaceros bathymaster,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bregmaceros cantori,Bregmaceros cantori,Bregmaceros cantori,Bregmaceros cantori,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bregmaceros cayorum,NA,Bregmaceros cayorum,"Bregmaceros cayorum Nichols, 1952",NA,NA,NA,G,,TRUE,FALSE,FALSE,TRUE
Bregmaceros houdei,Bregmaceros houdei,Bregmaceros houdei,Bregmaceros houdei,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bregmaceros japonicus,Bregmaceros japonicus,Bregmaceros japonicus,Bregmaceros japonicus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bregmaceros lanceolatus,Bregmaceros lanceolatus,Bregmaceros lanceolatus,Bregmaceros lanceolatus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bregmaceros mcclellandi,Bregmaceros mcclellandi,Bregmaceros mcclellandi,"Bregmaceros mcclellandi Thompson, 1840",NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bregmaceros nectabanus,Bregmaceros nectabanus,Bregmaceros nectabanus,Bregmaceros nectabanus,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Bregmaceros neonectabanus,NA,Bregmaceros neonectabanus,Bregmaceros neonectabanus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bregmaceros nectabanus,Bregmaceros pescadorus,Bregmaceros pescadorus,Bregmaceros nectabanus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bregmaceros pseudolanceolatus,Bregmaceros pseudolanceolatus,Bregmaceros pseudolanceolatus,Bregmaceros pseudolanceolatus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Bregmaceros rarisquamosus,Bregmaceros rarisquamosus,Bregmaceros rarisquamosus,"Bregmaceros rarisquamosus Munro, 1950",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Brosme brosme,Brosme brosme,Brosme brosme,Brosme brosme,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Cetonurichthys subinflatus,Cetonurichthys subinflatus,Cetonurichthys subinflatus,"Cetonurichthys subinflatus Sazonov & Shcherbachev, 1982",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Cetonurus crassiceps,Cetonurus crassiceps,Cetonurus crassiceps,Cetonurus crassiceps,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Cetonurus globiceps,Cetonurus globiceps,Cetonurus globiceps,Cetonurus globiceps,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Ciliata mustela,Ciliata mustela,Ciliata mustela,Ciliata mustela,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Ciliata septentrionalis,Ciliata septentrionalis,Ciliata septentrionalis,Ciliata septentrionalis,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Ciliata tchangi,NA,Ciliata tchangi,"Ciliata tchangi Li, 1994",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus acanthiger,Coelorinchus acanthiger,Coelorinchus acanthiger,Coelorinchus acanthiger,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Coelorinchus acantholepis,Coelorinchus acantholepis,Coelorinchus acantholepis,"Coelorinchus acantholepis Gilbert & Hubbs, 1920",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus aconcagua,Coelorinchus aconcagua,Coelorinchus aconcagua,Coelorinchus aconcagua,NA,NA,NA,G,,TRUE,TRUE,TRUE,TRUE
Coelorinchus acutirostris,Coelorinchus acutirostris,Coelorinchus acutirostris,"Coelorinchus acutirostris Smith & Radcliffe, 1912",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus amirantensis,NA,Coelorinchus amirantensis,Coelorinchus amirantensis,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus amydrozosterus,Coelorinchus amydrozosterus,Coelorinchus amydrozosterus,"Coelorinchus amydrozosterus Iwamoto & Williams, 1999",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus anatirostris,Coelorinchus anatirostris,Coelorinchus anatirostris,Coelorinchus anatirostris,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus anisacanthus,NA,Coelorinchus anisacanthus,"Coelorinchus anisacanthus Sazonov, 1994",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus aratrum,Coelorinchus aratrum,Coelorinchus aratrum,Coelorinchus aratrum,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus argentatus,Coelorinchus argentatus,Coelorinchus argentatus,"Coelorinchus argentatus Smith & Radcliffe, 1912",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus argus,Coelorinchus argus,Coelorinchus argus,"Coelorinchus argus Weber, 1913",NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus aspercephalus,Coelorinchus aspercephalus,Coelorinchus aspercephalus,Coelorinchus aspercephalus,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
Coelorinchus asteroides,Coelorinchus asteroides,Coelorinchus asteroides,Coelorinchus asteroides,NA,NA,NA,G,,FALSE,FALSE,TRUE,FALSE
